  id   |               claim_id               | transaction_id | reason_code |   due_date   |  status   
-------+--------------------------------------+----------------+-------------+--------------+-----------
 87090 | d833b737-bfc6-4486-9815-9558ee237a67 | TXN-001251     | 4853        | Apr 1, 2026  | INITIATED
 87113 | 02b46a67-8cb7-4a11-8edd-42f6d55b21cc | TXN-001238     | 4841        | Mar 31, 2026 | INITIATED
 87114 | 6753f3f2-0bb8-4636-b991-703359053241 | TXN-001239     | 4841        | Mar 31, 2026 | INITIATED
 87115 | c73cb44e-bcf6-4d5d-bae0-b1b1db1549e8 | TXN-001240     | 4834        | Mar 31, 2026 | INITIATED
 87116 | 0c0f8f87-d5b6-468e-a642-7348c43481c6 | TXN-001241     | 4837        | Apr 15, 2026 | INITIATED
 87117 | 41e750f1-5fdf-461d-b4dd-981156e2f636 | TXN-001242     | 4808        | Apr 28, 2026 | INITIATED
 87118 | 6bd81b5b-0865-40c2-91bf-b2ee8d2f3632 | TXN-001243     | 4855        | Apr 5, 2026  | INITIATED
 87119 | 19e46772-0d85-4372-91e5-bd6747496d95 | TXN-001244     | 4871        | Apr 10, 2026 | INITIATED
 87120 | e6d87553-7d46-4e45-bbbd-cde674aa33d3 | TXN-001245     | 4837        | Apr 20, 2026 | INITIATED
 87121 | 44145741-aafd-4a38-95ba-05185cdf09ff | TXN-001246     | 4831        | Apr 15, 2026 | INITIATED
 87122 | 2af89ab6-dbd5-4846-abeb-48a757a20c90 | TXN-001247     | 4853        | Apr 8, 2026  | INITIATED
 87123 | 6ff01dd0-0419-4ae4-953b-9b0dc253d594 | TXN-001248     | 4808        | Apr 25, 2026 | INITIATED
 87124 | d280b750-57d5-4d0d-abe0-033b31b0dc03 | TXN-001249     | 4863        | Apr 20, 2026 | INITIATED
 87125 | 695ed7e6-e742-478f-a195-f12c1d8abf79 | TXN-001250     | 4841        | Apr 12, 2026 | INITIATED
 89871 | 2e02de87-57d4-48ca-a9b1-840aadbca380 | TXN-001237     | 4834        | Mar 31, 2026 | INITIATED
 89872 | c9666454-b20b-4bd3-a1a0-d71d469d055e | TXN-001238     | 4841        | Mar 31, 2026 | INITIATED
 89873 | b042f6f7-64cc-402f-b19c-23016d32ccf1 | TXN-001239     | 4841        | Mar 31, 2026 | INITIATED
 89874 | 6044ca7e-ab3b-4d96-8ded-f749290eee82 | TXN-001240     | 4834        | Mar 31, 2026 | INITIATED
 89875 | 57dc9e28-90c6-401e-a0e6-703a7a195289 | TXN-001241     | 4837        | Apr 15, 2026 | INITIATED
 89876 | d3c8f20c-ce9f-40bc-8b36-1d35db02caf5 | TXN-001242     | 4808        | Apr 28, 2026 | INITIATED
 89877 | 502c15f9-dc2f-453b-8119-e43259bf671f | TXN-001243     | 4855        | Apr 5, 2026  | INITIATED
 89878 | 4e0b0228-87fe-4e2d-b515-cf8f2d43630e | TXN-001244     | 4871        | Apr 10, 2026 | INITIATED
 89879 | 6c354101-74c7-4d0c-a5d6-0b7c540611de | TXN-001245     | 4837        | Apr 20, 2026 | INITIATED
 89880 | 4d092dc7-6c3a-4fae-a0ca-bb9c0ab4ffda | TXN-001246     | 4831        | Apr 15, 2026 | INITIATED
 89881 | 94851fb8-6e80-4db0-86d3-1c12e2ce3e92 | TXN-001247     | 4853        | Apr 8, 2026  | INITIATED
